COUNTY_ID,DIST_ID,COUNTY_NAME,DISTRICT_NAME,2010_11_TOTAL,2011_12_TOTAL,2012_13_TOTAL,2013_14_TOTAL,2014_15_TOTAL,2015_16_TOTAL,DIFFERENCE
9,5610,CAPE MAY,WEST CAPE MAY BORO,39,58,66,78,80,84,45
17,1200,HUDSON,EAST NEWARK BORO,223,229,239,254,265,268,45
3,5160,BERGEN,TENAFLY BORO,3559,3605,3602,3584,3597,3605,46
11,2570,CUMBERLAND,LAWRENCE TWP,441,468,504,510,502,487,46
3,4845,BERGEN,SOUTH BERGEN JOINTURE COM,296.5,326,303,294,311,343,46.5
3,4405,BERGEN,RIVER DELL REGIONAL,1595,1667,1651,1663,1671.5,1642,47
7,260,CAMDEN,BELLMAWR BORO,1144,1130,1036,1137,1159,1192,48
23,4130,MIDDLESEX,PISCATAWAY TWP,7190.5,7285,7361.5,7338,7304,7239.5,49
80,6020,CHARTERS,Pride Academy Charter School,239,240,265,264,264,288,49
27,2650,MORRIS,LINCOLN PARK BORO,885,873,918,943,951,935,50
7,3110,CAMDEN,MERCHANTVILLE BORO,322,365,374,378,371,373,51
5,3010,BURLINGTON,MAPLE SHADE TWP,2126,2113,2080,2163,2226,2180,54
19,2300,HUNTERDON,HUNTERDON CENTRAL REG,2888.5,2995.5,2946,2953.5,2935.5,2943.5,55
7,940,CAMDEN,COLLINGSWOOD BORO,1889,1875,1862,1875,1877,1945,56
31,4270,PASSAIC,PROSPECT PARK BORO,858,883,901,878,866,914,56
80,7410,CHARTERS,chARTer~TECH HIGH SCHOOL,281,319,314,332,338,339,58
80,6029,CHARTERS,Newark Educators Community Charter School,243,276,278,277,314,302,59
11,5390,CUMBERLAND,VINELAND CITY,9739.5,9636,9655.5,9828.5,9720,9799.5,60
33,4640,SALEM,SALEM COUNTY VOCATIONAL,762,722.5,761.5,773.5,826,824,62
39,2420,UNION,KENILWORTH BORO,1349,1326.5,1356.5,1400.5,1409,1411.5,62.5
3,990,BERGEN,CRESSKILL BORO,1726,1743,1707,1754.5,1766,1789,63
5,1060,BURLINGTON,DELRAN TWP,2957,2921,2860,2950,2979,3020,63
1,1300,ATLANTIC,EGG HARBOR CITY,462,504,503,491,502,527,65
27,5770,MORRIS,WHARTON BORO,724,780,786,778,780,789,65
25,1000,MONMOUTH,DEAL BORO,99,78,149,155,163,165,66
80,6076,CHARTERS,Benjamin Banneker Prep CS,,,78,149,147,144,66
3,1230,BERGEN,EAST RUTHERFORD BORO,758,771,765,761,772,826,68
80,6215,CHARTERS,Camden's Promise CS,425,430,439,450,465,493,68
3,2860,BERGEN,LYNDHURST TWP,2329.5,2365,2287.5,2320,2386.5,2398.5,69
80,6024,CHARTERS,Camdens Pride Charter School,174,214,240,241,239,243,69
80,6635,CHARTERS,Greater Brunswick CS,316,330,353,382,381,386,70
80,6665,CHARTERS,Gray CS,261,283,165,296,326,331,70
7,5080,CAMDEN,STRATFORD BORO,778,767,743,814,858,850,72
21,3105,MERCER,MERCER COUNTY VOCATIONAL,366.5,383.5,440.5,479,487.5,438.5,72
80,6212,CHARTERS,Camden Academy Charter HS,425,417,422,442,466,497,72
80,6089,CHARTERS,Compass Academy CS,,,,103,145,175,72
35,5550,SOMERSET,WATCHUNG HILLS REGIONAL,2072,2067.5,2141,2178,2197.5,2144.5,72.5
80,6915,CHARTERS,Jersey City Golden Door Charter School,480,478,486,487,532,553,73
80,8050,CHARTERS,Unity CS,145,169,183,195,202,219,74
23,4090,MIDDLESEX,PERTH AMBOY CITY,10473.5,10258,10278,9988,10474.5,10548,74.5
5,610,BURLINGTON,BURLINGTON CO VOCATIONAL,1987,2024,2100,2061,2056,2063,76
31,3980,PASSAIC,PASSAIC CO MANCHESTER REG,789,812,902,911,896,865,76
15,1774,GLOUCESTER,GLOUCESTER CO SPEC SERV,603.5,626,594,675,661,680,76.5
5,3430,BURLINGTON,MOUNT HOLLY TWP,911,905,1021,1014,987,988,77
80,6086,CHARTERS,Hope Community CS,,,,102,170,180,78
80,6067,CHARTERS,Kingdom CS of Leadership,,118,150,181,201,197,79
23,3145,MIDDLESEX,MIDDLESEX CO REG SER COMM,624,468.5,689.5,654.5,704,704,80
13,3310,ESSEX,MONTCLAIR TOWN,6581,6625,6674,6678,6613,6663,82
3,290,BERGEN,BERGEN COUNTY VOCATIONAL,2068,2408,2119.5,2145.5,2107,2153,85
15,1715,GLOUCESTER,GATEWAY REGIONAL,858,894,894,898,959.5,945,87
29,320,OCEAN,BERKELEY TWP,2017,2020,2054,2107,2092,2105,88
80,7600,CHARTERS,Queen City Academy CS,234,237,252,250,248,322,88
3,285,BERGEN,BERGEN CO SPECIAL SERVICE,646,758,724,707.5,729.5,734.5,88.5
21,1431,MERCER,Katzenbach,,,,,,93,93
23,3620,MIDDLESEX,NORTH BRUNSWICK TWP,5968.5,6034,6095.5,6164.5,6162,6062.5,94
41,1870,WARREN,HACKETTSTOWN,1828,1809,1842,1892,1891,1922,94
15,3280,GLOUCESTER,MONROE TWP,6017,5921,6099,6075,6046,6112,95
9,3780,CAPE MAY,OCEAN CITY,2046,2072,2084.5,2096,2150.5,2142,96
33,3860,SALEM,OLDMANS TWP,191,228,228,254,265,289,98
80,6182,CHARTERS,International Academy of Trenton Charter School,,,,,351,450,99
31,5200,PASSAIC,TOTOWA BORO,980,989,1015,1055,1076,1081,101
80,6183,CHARTERS,Trenton Stem-to-Civics CS,,,,,101,202,101
39,5245,UNION,UNION CO ED SERV COMM,231,265,298,313,338,333,102
1,1960,ATLANTIC,HAMMONTON TOWN,3542,3485.5,3601,3630.5,3600,3645,103
7,150,CAMDEN,AUDUBON BORO,1431,1441,1489,1546,1541,1537,106
80,6025,CHARTERS,Paul Robeson Humanities  Charter School,269,275,298,366,373,375,106
13,5630,ESSEX,WEST ESSEX REGIONAL,1591,1612.5,1625,1648.5,1646,1697.5,106.5
3,2620,BERGEN,LEONIA BORO,1738,1822,1830,1810.5,1832.5,1845.5,107.5
13,3750,ESSEX,NUTLEY TOWN,3918.5,3930.5,4028.5,4014.5,3992.5,4026,107.5
27,450,MORRIS,BOONTON TOWN,1249,1260,1274.5,1195,1160.5,1359,110
15,860,GLOUCESTER,CLAYTON BORO,1338,1258,1367,1407,1447,1449,111
35,3000,SOMERSET,MANVILLE BORO,1310,1289.5,1292.5,1373.5,1413,1422.5,112.5
25,4365,MONMOUTH,RED BANK REGIONAL,1077.5,1127,1181,1173.5,1220.5,1191.5,114
31,3995,PASSAIC,PASSAIC COUNTY VOCATIONAL,3245,3212,3242,3267,3355.5,3359,114
33,4150,SALEM,PITTSGROVE TWP,1580.5,1773.5,1766,1711,1682,1695,114.5
21,1245,MERCER,EAST WINDSOR REGIONAL,5020,5030,5045,5116,5109,5139.5,119.5
3,1550,BERGEN,FORT LEE BORO,3602,3659,3723,3766,3735,3723.5,121.5
80,7500,CHARTERS,Pace CS of Hamilton,116,114,116,144,221,238,122
80,7735,CHARTERS,Maria L. Varisco-Rogers CS,380,474,493,526,520,502,122
80,6033,CHARTERS,The Barack Obama Green Charter High School,104,163,163,204,233,227,123
17,5580,HUDSON,WEEHAWKEN TWP,1254.5,1232,1260.5,1298,1326,1380,125.5
17,220,HUDSON,BAYONNE CITY,9242,9418,9321,9555,9611,9368,126
80,7730,CHARTERS,Robert Treat Academy CS,525,551,571,600,625,651,126
17,2210,HUDSON,HOBOKEN CITY,1816,1730,1706,1970,1888,1943,127
80,6083,CHARTERS,Knowledge A to Z Charter School,,,193,241,320,321,128
80,8010,CHARTERS,Union County TEAMS CS,251,279,314,320,338,381,130
5,840,BURLINGTON,CINNAMINSON TWP,2310,1652,2328,2354,2412.5,2441,131
5,475,BURLINGTON,BORDENTOWN REGIONAL,2419,2194,2495,2560,2561,2551,132
80,6081,CHARTERS,Thomas Edison EnergySmart Charter School,,,210,254,296,342,132
23,3120,MIDDLESEX,METUCHEN BORO,2096.5,2109,2116.5,2120.5,2145,2230.5,134
27,1990,MORRIS,HANOVER PARK REGIONAL,1421,1473,1575,1564,1587,1555,134
